4	5
393	7
8	295
394	296
190	299
144	289
228	288
249	260
269	213
272	161
294	117.000000000000
283	82
269	53
120	74
98	118
96	166
108	220
126.000000000000	270
150	250
226	249
155	213
208.000000000000	212
170	139
114.333333333333	145.333333333333
122.000000000000	168.333333333333
141.333333333333	173.333333333333
163.333333333333	167.000000000000
141.333333333333	155.666666666667
203.333333333333	163.333333333333
224.000000000000	169.333333333333
247.000000000000	159
225	149.333333333333
196.666666666667	136.333333333333
250.666666666667	136.333333333333
179.333333333333	201
182.666666666667	234.666666666667
186.333333333333	260.333333333333
