4	7
395	8
7	294
397	297
233.000000000000	246
190	235
276	227
293	196.000000000000
301	169
308	130
318	91.0000000000000
310	46
291	18
151	15
119	78.0000000000000
130	135
154	179
168	214
202	204
264	202
202	172
251	165
207.666666666667	107.666666666667
155.666666666667	110.666666666667
165	133
186.666666666667	137.666666666667
204.666666666667	132
187	122.333333333333
249.000000000000	126.333333333333
272	131.333333333333
288.666666666667	121.666666666667
269.666666666667	115
240.666666666667	105.000000000000
289.666666666667	101.666666666667
230.000000000000	155.666666666667
232.000000000000	190
234.333333333333	211
